,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_ID,Outlet_Age,Item_MRP_Group,price/weight
0,9.3,Low Fat,-4.132214605540695,249.8092,MED,Medium,Tier 1,Supermarket Type1,3735.138,FD,14,D,26.86120430107527
1,5.92,Regular,-3.9487795252013376,48.2692,MED,Medium,Tier 3,Supermarket Type2,443.4228,DR,4,A,8.15358108108108
2,17.5,Low Fat,-4.088755708997878,141.618,MED,Medium,Tier 1,Supermarket Type1,2097.27,FD,14,C,8.092457142857143
3,19.2,Regular,-4.181624629851282,182.095,LOW,Small,Tier 3,Grocery Store,732.38,FD,15,C,9.484114583333334
4,8.93,Low Fat,-4.8180969815473595,53.8614,MED,High,Tier 3,Supermarket Type1,994.7052,NC,26,A,6.031511758118701
5,10.395,Regular,-2.7980589274769683,51.4008,MED,Medium,Tier 3,Supermarket Type2,556.6088,FD,4,A,4.944761904761904
6,13.65,Regular,-4.362923153684317,57.6588,MED,High,Tier 3,Supermarket Type1,343.5528,FD,26,A,4.224087912087912
7,19.0,Low Fat,-2.0598753580205247,107.7622,HIGH,Medium,Tier 3,Supermarket Type3,4022.7636,FD,28,B,5.671694736842106
8,16.2,Regular,-4.093118474175339,96.9726,MED,Small,Tier 2,Supermarket Type1,1076.5986,FD,11,B,5.985962962962963
9,19.2,Regular,-2.3596890259651624,187.8214,MED,Small,Tier 2,Supermarket Type1,4710.535,FD,6,C,9.782364583333335
10,11.8,Low Fat,-2.952019685969042,45.5402,MED,Medium,Tier 1,Supermarket Type1,1516.0266,FD,14,A,3.859338983050847
11,18.5,Regular,-3.0908394679612456,144.1102,MED,Small,Tier 1,Supermarket Type1,2187.153,FD,16,C,7.78974054054054
12,15.1,Regular,-2.3024501021057255,145.4786,MED,Medium,Tier 1,Supermarket Type1,1589.2646,FD,14,C,9.634344370860928
13,17.6,Regular,-3.052147547120498,119.6782,MED,Small,Tier 1,Supermarket Type1,2145.2076,FD,16,B,6.799897727272727
14,16.35,Low Fat,-2.6878902847002086,196.4426,MED,High,Tier 3,Supermarket Type1,1977.426,FD,26,C,12.014837920489295
15,9.0,Regular,-2.6723603149502786,56.3614,MED,Small,Tier 1,Supermarket Type1,1547.3192,FD,16,A,6.262377777777778
16,11.8,Low Fat,-4.756452367227384,115.3492,MED,Medium,Tier 3,Supermarket Type2,1621.8888,NC,4,B,9.77535593220339
17,9.0,Regular,-2.670806787672063,54.3614,MED,Medium,Tier 1,Supermarket Type1,718.3982,FD,14,A,6.040155555555556
18,8.26,Low Fat,-3.3744284285983803,113.2834,HIGH,Medium,Tier 3,Supermarket Type3,2303.668,DR,28,B,13.714697336561743
19,13.35,Low Fat,-2.2779693614077234,230.5352,MED,Small,Tier 2,Supermarket Type1,2748.4224,FD,9,D,17.268554307116105
20,18.85,Regular,-1.9791237246821762,250.8724,MED,High,Tier 3,Supermarket Type1,3775.086,FD,26,D,13.308880636604773
21,8.315,Regular,-3.341045633986017,144.5444,HIGH,Medium,Tier 3,Supermarket Type3,4064.0432,FD,28,C,17.383571858087794
22,14.6,Low Fat,-3.66133689672087,196.5084,MED,Small,Tier 2,Supermarket Type1,1587.2672,NC,9,C,13.459479452054795
23,15.5,Low Fat,-2.854979552596853,107.6938,LOW,Small,Tier 1,Grocery Store,214.3876,FD,28,B,6.9479870967741935
24,13.85,Regular,-3.653648033772376,165.021,MED,Small,Tier 1,Supermarket Type1,4078.025,FD,16,C,11.914873646209386
25,13.0,Low Fat,-2.303714700760734,45.906,MED,Small,Tier 2,Supermarket Type1,838.908,NC,6,A,3.531230769230769
26,7.645,Regular,-2.7076487267038427,42.3112,MED,Small,Tier 2,Supermarket Type1,1065.28,FD,9,A,5.534493132766515
27,11.65,Low Fat,-3.9447460104834935,39.1164,MED,High,Tier 3,Supermarket Type1,308.9312,DR,26,A,3.3576309012875534
28,5.925,Regular,-1.8234573776066596,45.5086,LOW,Small,Tier 3,Grocery Store,178.4344,FD,15,A,7.680776371308017
29,14.5,Regular,-2.6280133257533738,43.6454,LOW,Small,Tier 1,Grocery Store,125.8362,FD,28,A,3.010027586206897
30,19.25,Low Fat,-1.7699086409283618,55.7956,LOW,Small,Tier 3,Grocery Store,163.7868,FD,15,A,2.8984727272727273
31,18.6,Low Fat,-2.5154148646591183,96.4436,MED,Medium,Tier 3,Supermarket Type2,2741.7644,NC,4,B,5.185139784946236
32,18.7,Low Fat,-2.4584758979055916,256.6672,MED,Medium,Tier 3,Supermarket Type2,3068.0064,FD,4,D,13.72551871657754
33,17.85,Low Fat,-1.9568919701216456,93.1436,MED,Small,Tier 2,Supermarket Type1,2174.5028,FD,11,B,5.218128851540616
34,17.5,Low Fat,-2.3237675760534655,174.8738,MED,Small,Tier 1,Supermarket Type1,2085.2856,DR,16,C,9.992788571428571
35,10.0,Low Fat,-2.415853045745308,146.7102,MED,Medium,Tier 1,Supermarket Type1,3791.0652,NC,14,C,14.671019999999999
36,20.2,Regular,-2.8215804651248373,128.0678,HIGH,Medium,Tier 3,Supermarket Type3,2797.6916,FD,28,B,6.339990099009902
37,8.85,Regular,-2.1792716626452857,122.5388,MED,Medium,Tier 3,Supermarket Type2,1609.9044,DR,4,B,13.84619209039548
38,6.385000000000001,Regular,-2.094665211939171,36.9874,HIGH,Medium,Tier 3,Supermarket Type3,388.1614,FD,28,A,5.792858261550508
39,15.25,Low Fat,-3.6313295213719607,87.6198,HIGH,Medium,Tier 3,Supermarket Type3,2180.495,FD,28,B,5.745560655737704
40,13.35,Low Fat,-2.277780252555113,230.6352,MED,Small,Tier 1,Supermarket Type1,3435.528,FD,16,D,17.276044943820224
41,9.8,Low Fat,-3.6186659412462197,126.002,MED,High,Tier 3,Supermarket Type1,2150.534,FD,26,B,12.857346938775509
42,13.6,Low Fat,-2.1386112643754553,192.9136,MED,Medium,Tier 1,Supermarket Type1,2527.3768,FD,14,C,14.184823529411766
43,21.35,Low Fat,-2.6721595794384823,259.9278,MED,Medium,Tier 3,Supermarket Type2,6768.5228,FD,4,D,12.174604215456673
44,12.15,Regular,-3.1634915686377654,126.5046,MED,High,Tier 3,Supermarket Type1,373.5138,FD,26,B,10.411901234567901
45,6.42,Low Fat,-2.413528653773328,178.1002,LOW,Small,Tier 3,Grocery Store,358.2004,FD,15,C,27.74146417445483
46,19.6,Low Fat,-3.8584076915157786,153.3024,MED,Small,Tier 2,Supermarket Type1,2428.8384,NC,11,C,7.821551020408163
47,10.0,Low Fat,-3.6543011541507098,265.2226,MED,Small,Tier 2,Supermarket Type1,5815.0972,FD,11,D,26.52226
48,15.85,Regular,-2.1067492584764773,60.622,MED,Small,Tier 1,Supermarket Type1,2576.646,FD,16,A,3.8247318611987384
49,10.195,Regular,-1.3649443199216806,196.8794,LOW,Small,Tier 1,Grocery Store,780.3176,FD,28,C,19.311368317802845
50,7.39,Low Fat,-2.691492361853274,143.8812,MED,Small,Tier 1,Supermarket Type1,3134.5864,NC,16,C,19.469715832205686
51,10.195,Low Fat,-1.833808134551401,141.5154,MED,High,Tier 3,Supermarket Type1,850.8924,FD,26,C,13.880863168219715
52,9.895,Regular,-3.550965060885366,117.0492,MED,High,Tier 3,Supermarket Type1,810.9444,FD,26,B,11.82912582112178
53,10.895,Low Fat,-2.732728505919938,196.3794,MED,Small,Tier 2,Supermarket Type1,3121.2704,FD,6,C,18.02472693896283
54,12.15,Low Fat,-3.5487692941127036,151.4708,MED,Small,Tier 2,Supermarket Type1,4815.0656,NC,6,C,12.466732510288065
55,7.905,Low Fat,-4.599873736970009,249.0408,MED,Medium,Tier 3,Supermarket Type2,6258.52,FD,4,D,31.50421252371916
