,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_ID,Outlet_Age,price/weight,Outlet_Identifier_HIGH,Outlet_Identifier_LOW,Outlet_Identifier_MED,Item_MRP_Group_A,Item_MRP_Group_B,Item_MRP_Group_C,Item_MRP_Group_D
0,9.3,0,-4.132214605540695,249.8092,1,1,1,3735.138,2,14,26.86120430107527,0,0,1,0,0,0,1
1,5.92,1,-3.9487795252013376,48.2692,1,3,2,443.4228,0,4,8.15358108108108,0,0,1,1,0,0,0
2,17.5,0,-4.088755708997878,141.618,1,1,1,2097.27,2,14,8.092457142857143,0,0,1,0,0,1,0
3,19.2,1,-4.181624629851282,182.095,0,3,0,732.38,2,15,9.484114583333334,0,1,0,0,0,1,0
4,8.93,0,-4.8180969815473595,53.8614,2,3,1,994.7052,1,26,6.031511758118701,0,0,1,1,0,0,0
5,10.395,1,-2.7980589274769683,51.4008,1,3,2,556.6088,2,4,4.944761904761904,0,0,1,1,0,0,0
6,13.65,1,-4.362923153684317,57.6588,2,3,1,343.5528,2,26,4.224087912087912,0,0,1,1,0,0,0
7,19.0,0,-2.0598753580205247,107.7622,1,3,3,4022.7636,2,28,5.671694736842106,1,0,0,0,1,0,0
8,16.2,1,-4.093118474175339,96.9726,0,2,1,1076.5986,2,11,5.985962962962963,0,0,1,0,1,0,0
9,19.2,1,-2.3596890259651624,187.8214,0,2,1,4710.535,2,6,9.782364583333335,0,0,1,0,0,1,0
10,11.8,0,-2.952019685969042,45.5402,1,1,1,1516.0266,2,14,3.859338983050847,0,0,1,1,0,0,0
11,18.5,1,-3.0908394679612456,144.1102,0,1,1,2187.153,2,16,7.78974054054054,0,0,1,0,0,1,0
12,15.1,1,-2.3024501021057255,145.4786,1,1,1,1589.2646,2,14,9.634344370860928,0,0,1,0,0,1,0
13,17.6,1,-3.052147547120498,119.6782,0,1,1,2145.2076,2,16,6.799897727272727,0,0,1,0,1,0,0
14,16.35,0,-2.6878902847002086,196.4426,2,3,1,1977.426,2,26,12.014837920489295,0,0,1,0,0,1,0
15,9.0,1,-2.6723603149502786,56.3614,0,1,1,1547.3192,2,16,6.262377777777778,0,0,1,1,0,0,0
16,11.8,0,-4.756452367227384,115.3492,1,3,2,1621.8888,1,4,9.77535593220339,0,0,1,0,1,0,0
17,9.0,1,-2.670806787672063,54.3614,1,1,1,718.3982,2,14,6.040155555555556,0,0,1,1,0,0,0
18,8.26,0,-3.3744284285983803,113.2834,1,3,3,2303.668,0,28,13.714697336561743,1,0,0,0,1,0,0
19,13.35,0,-2.2779693614077234,230.5352,0,2,1,2748.4224,2,9,17.268554307116105,0,0,1,0,0,0,1
20,18.85,1,-1.9791237246821762,250.8724,2,3,1,3775.086,2,26,13.308880636604773,0,0,1,0,0,0,1
